price,brand,model,year,title_status,mileage,color,state,country,condition
6300,toyota,cruiser,2008,clean vehicle,274117.0,black,new jersey, usa,10 days left
2899,ford,se,2011,clean vehicle,190552.0,silver,tennessee, usa,6 days left
5350,dodge,mpv,2018,clean vehicle,39590.0,silver,georgia, usa,2 days left
25000,ford,door,2014,clean vehicle,64146.0,blue,virginia, usa,22 hours left
27700,chevrolet,1500,2018,clean vehicle,6654.0,red,florida, usa,22 hours left
5700,dodge,mpv,2018,clean vehicle,45561.0,white,texas, usa,2 days left
7300,chevrolet,pk,2010,clean vehicle,149050.0,black,georgia, usa,22 hours left
13350,gmc,door,2017,clean vehicle,23525.0,gray,california, usa,20 hours left
14600,chevrolet,malibu,2018,clean vehicle,9371.0,silver,florida, usa,22 hours left
5250,ford,mpv,2017,clean vehicle,63418.0,black,texas, usa,2 days left
10400,dodge,coupe,2009,clean vehicle,107856.0,orange,georgia, usa,22 hours left
12920,gmc,mpv,2017,clean vehicle,39650.0,white,california, usa,20 hours left
31900,chevrolet,1500,2018,clean vehicle,22909.0,black,tennessee, usa,22 hours left
5430,chrysler,wagon,2017,clean vehicle,138650.0,gray,texas, usa,2 days left
20700,ford,door,2013,clean vehicle,100757.0,black,virginia, usa,22 hours left
12710,gmc,door,2017,clean vehicle,25747.0,white,california, usa,20 hours left
5200,kia,forte,2018,clean vehicle,46194.0,blue,north carolina, usa,2 days left
16500,buick,encore,2018,clean vehicle,20002.0,red,tennessee, usa,22 hours left
5210,ford,mpv,2017,clean vehicle,35714.0,white,texas, usa,2 days left
38100,ford,door,2013,clean vehicle,54380.0,gray,virginia, usa,22 hours left
12520,gmc,door,2017,clean vehicle,30114.0,white,california, usa,20 hours left
7300,kia,forte,2018,clean vehicle,38823.0,black,north carolina, usa,2 days left
15000,chevrolet,door,2015,clean vehicle,61578.0,black,ohio, usa,2 days left
6180,ford,mpv,2017,clean vehicle,46010.0,blue,texas, usa,2 days left
20800,ford,door,2013,clean vehicle,105510.0,silver,virginia, usa,22 hours left
11900,gmc,door,2017,clean vehicle,28040.0,silver,california, usa,20 hours left
21500,kia,sorento,2020,clean vehicle,11451.0,blue,north carolina, usa,2 days left
12000,buick,door,2014,clean vehicle,31039.0,brown,ohio, usa,2 days left
4190,ford,doors,2017,clean vehicle,44174.0,white,texas, usa,2 days left
13000,ford,chassis,2008,clean vehicle,93698.0,white,tennessee, usa,22 hours left
12710,gmc,door,2017,clean vehicle,26364.0,silver,california, usa,20 hours left
18500,infiniti,q70,2016,clean vehicle,71967.0,gray,new york, usa,19 hours left
29800,chevrolet,camaro,1973,clean vehicle,46226.0,red,pennsylvania, usa,22 hours left
5330,ford,mpv,2017,clean vehicle,37792.0,no_color,texas, usa,2 days left
13000,ford,convertible,2003,clean vehicle,58817.0,gray,virginia, usa,22 hours left
11900,gmc,door,2017,clean vehicle,27965.0,black,california, usa,20 hours left
16600,mercedes-benz,vans,2016,clean vehicle,110907.0,white,new york, usa,19 hours left
19200,chevrolet,1500,2018,clean vehicle,2430.0,white,tennessee, usa,22 hours left
7320,ford,mpv,2017,clean vehicle,32366.0,gold,texas, usa,2 days left
7000,ford,pk,2003,clean vehicle,176567.0,white,tennessee, usa,22 hours left
12710,gmc,door,2017,clean vehicle,30049.0,white,california, usa,20 hours left
16600,mercedes-benz,vans,2016,clean vehicle,97983.0,white,new york, usa,19 hours left
30500,chevrolet,1500,2018,clean vehicle,30442.0,red,tennessee, usa,22 hours left
6330,ford,mpv,2017,clean vehicle,38123.0,red,texas, usa,2 days left
55000,ford,srw,2017,clean vehicle,15273.0,black,pennsylvania, usa,3 days left
12520,gmc,door,2017,clean vehicle,28972.0,black,california, usa,20 hours left
16200,jeep,compass,2019,clean vehicle,30061.0,red,north carolina, usa,2 days left
19000,chevrolet,malibu,2017,clean vehicle,18414.0,white,tennessee, usa,22 hours left
5580,dodge,mpv,2017,clean vehicle,46829.0,gray,texas, usa,2 days left
54000,ford,srw,2017,clean vehicle,26241.0,black,pennsylvania, usa,3 days left
12710,gmc,mpv,2017,clean vehicle,39886.0,red,california, usa,20 hours left
16000,jeep,compass,2019,clean vehicle,31594.0,silver,north carolina, usa,2 days left
27000,buick,enclave,2017,clean vehicle,32107.0,no_color,tennessee, usa,22 hours left
7760,ford,mpv,2017,clean vehicle,44794.0,gray,texas, usa,2 days left
19600,chrysler,300,2019,clean vehicle,42648.0,gray,south carolina, usa,22 hours left
12920,gmc,mpv,2017,clean vehicle,39165.0,silver,california, usa,20 hours left
20000,jeep,cherokee,2019,clean vehicle,38355.0,charcoal,north carolina, usa,2 days left
18100,buick,door,2017,clean vehicle,46766.0,silver,florida, usa,2 days left
23000,chrysler,pacifica,2020,clean vehicle,2473.0,white,ohio, usa,2 days left
18500,chrysler,300,2019,clean vehicle,38586.0,gray,south carolina, usa,22 hours left
13490,gmc,door,2017,clean vehicle,27842.0,white,california, usa,20 hours left
20700,jeep,cherokee,2019,clean vehicle,31156.0,white,north carolina, usa,2 days left
17800,chevrolet,door,2017,clean vehicle,52435.0,black,florida, usa,22 hours left
6650,ford,door,2017,clean vehicle,29942.0,black,texas, usa,2 days left
29100,chrysler,pacifica,2019,clean vehicle,25281.0,red,south carolina, usa,22 hours left
12710,gmc,door,2017,clean vehicle,32504.0,silver,california, usa,20 hours left
21100,jeep,cherokee,2019,clean vehicle,28649.0,silver,north carolina, usa,2 days left
18600,chevrolet,door,2017,clean vehicle,35200.0,white,florida, usa,22 hours left
4340,ford,door,2017,clean vehicle,25602.0,silver,texas, usa,2 days left
